max_wait,rr,sl_mult,trades,wr,total_r,avg_r
1,4.0,1.0,122,10.655737704918032,-89.37557565948899,-0.7325866857335163
2,1.0,0.8,331,31.1178247734139,-244.1551927174436,-0.7376289810194671
1,1.0,0.8,122,29.508196721311474,-90.46946957436124,-0.741553029298043
3,5.0,0.8,607,10.049423393739703,-451.4830181057061,-0.7437940990209326
1,2.0,1.0,122,17.21311475409836,-91.37557565948899,-0.7489801283564671
6,5.0,0.5,1529,13.211249182472203,-1177.8672446173173,-0.770351369926303
1,3.0,0.8,122,13.934426229508196,-94.46946957436121,-0.7743399145439444
6,4.0,0.5,1529,15.761935905820797,-1184.867244617317,-0.7749295255835952
7,5.0,0.5,1844,13.177874186550975,-1430.428579913167,-0.7757204880223247
5,5.0,0.5,1226,13.050570962479608,-955.8411892503775,-0.7796420793233095
6,3.0,0.5,1529,19.555264879005886,-1193.8672446173168,-0.7808157257143995
7,4.0,0.5,1844,15.563991323210413,-1453.4285799131674,-0.788193373054863
1,5.0,0.8,122,9.01639344262295,-96.46946957436124,-0.7907333571668954
