symbol,div_type,atr,rr,train_trades,train_r,train_wr,test_trades,test_r,test_wr
INJUSDT,HID_BEAR,2.0,9.0,44,14.32,13.6,12,7.43,16.7
INUSDT,REG_BEAR,1.5,8.0,11,24.59,36.4,3,14.69,66.7
IOTAUSDT,REG_BEAR,2.0,5.0,26,20.57,30.8,12,17.39,41.7
IOUSDT,REG_BULL,1.0,5.0,19,21.65,36.8,4,1.72,25.0
IPUSDT,HID_BULL,2.0,9.0,34,64.84,29.4,6,3.83,16.7
JASMYUSDT,HID_BEAR,1.5,10.0,50,46.34,18.0,19,12.54,15.8
JELLYJELLYUSDT,HID_BULL,2.0,10.0,45,30.88,15.6,4,6.88,25.0
JSTUSDT,REG_BULL,2.0,3.0,21,15.78,47.6,4,3.44,50.0
JSTUSDT,HID_BEAR,2.0,1.5,37,11.27,56.8,10,3.78,60.0
JTOUSDT,HID_BEAR,1.0,10.0,53,41.51,17.0,18,24.52,22.2
JUPUSDT,REG_BEAR,2.0,5.0,22,7.08,22.7,14,15.38,35.7
JUPUSDT,HID_BEAR,2.0,7.0,45,41.41,24.4,22,9.02,18.2
KAIAUSDT,HID_BULL,1.0,9.0,47,7.03,12.8,11,7.75,18.2
KAIAUSDT,HID_BEAR,1.5,2.0,35,10.3,45.7,16,0.66,37.5
KAITOUSDT,REG_BEAR,1.0,7.0,23,23.02,26.1,4,3.59,25.0
KASUSDT,HID_BEAR,1.5,8.0,57,74.72,26.3,20,5.61,15.0
KITEUSDT,HID_BULL,1.0,10.0,12,9.12,16.7,10,0.2,10.0
LDOUSDT,REG_BULL,1.5,10.0,23,8.93,13.0,5,5.63,20.0
LDOUSDT,REG_BEAR,2.0,8.0,21,14.04,19.0,8,0.53,12.5
LDOUSDT,HID_BEAR,2.0,7.0,45,9.34,15.6,9,6.45,22.2
LIGHTUSDT,HID_BEAR,1.5,6.0,16,11.43,25.0,3,3.84,33.3
LPTUSDT,REG_BEAR,1.5,10.0,28,47.12,25.0,6,4.61,16.7
LTCUSDT,REG_BEAR,1.5,8.0,27,24.36,22.2,6,2.45,16.7
LUNA2USDT,REG_BULL,2.0,4.0,14,5.3,28.6,5,9.88,60.0
LUNA2USDT,HID_BEAR,2.0,9.0,49,8.36,12.2,14,5.26,14.3
LYNUSDT,REG_BEAR,1.0,6.0,10,3.58,20.0,4,2.87,25.0
MAGICUSDT,HID_BEAR,1.0,9.0,54,11.66,13.0,14,4.55,14.3
MANAUSDT,REG_BEAR,1.5,10.0,25,17.26,16.0,7,25.36,42.9
MANAUSDT,HID_BEAR,1.0,7.0,38,14.29,18.4,18,12.1,22.2
MANTAUSDT,REG_BULL,1.0,3.0,16,18.71,56.2,3,4.76,66.7
MANTAUSDT,REG_BEAR,1.0,4.0,21,17.25,38.1,9,14.94,55.6
MELANIAUSDT,REG_BEAR,1.0,9.0,34,12.78,14.7,3,6.81,33.3
MERLUSDT,HID_BEAR,2.0,10.0,28,4.08,10.7,20,23.3,20.0
METISUSDT,HID_BEAR,1.0,10.0,37,36.75,18.9,21,10.07,14.3
MEUSDT,REG_BEAR,1.0,8.0,29,39.66,27.6,8,0.04,12.5
MEUSDT,HID_BEAR,1.0,8.0,46,39.67,21.7,15,19.49,26.7
MINAUSDT,REG_BEAR,1.5,10.0,30,67.03,30.0,10,0.46,10.0
MIRAUSDT,REG_BEAR,2.0,8.0,15,29.47,33.3,5,12.71,40.0
MNTUSDT,REG_BEAR,2.0,10.0,22,20.14,18.2,10,11.37,20.0
MOODENGUSDT,REG_BEAR,2.0,3.0,18,17.3,50.0,8,3.6,37.5
MOODENGUSDT,HID_BULL,1.5,3.0,30,4.78,30.0,6,5.73,50.0
MOVEUSDT,HID_BULL,1.0,8.0,29,4.4,13.8,8,9.32,25.0
MYXUSDT,HID_BULL,1.5,9.0,15,14.64,20.0,8,11.64,25.0
