symbol,timeframe,best_rr,total_r,win_rate,trades,avg_r,profitable
STORJUSDT,1H,6.0,4.76,0.214,14,0.34,True
PIPPINUSDT,1H,3.0,4.51,0.364,11,0.41,True
LTCUSDT,1H,6.0,3.78,0.222,9,0.42,True
0GUSDT,1H,3.0,2.28,0.333,9,0.253,True
BNBUSDT,1H,2.5,-8.04,0.211,19,-0.423,False
WIFUSDT,1H,6.0,14.02,0.308,13,1.078,True
DOTUSDT,1H,6.0,2.64,0.2,10,0.264,True
GASUSDT,1H,4.5,0.51,0.222,9,0.057,True
UNIUSDT,1H,3.0,1.79,0.308,13,0.138,True
TRUUSDT,1H,2.5,-7.32,0.154,13,-0.563,False
STABLEUSDT,1H,6.0,15.81,0.6,5,3.162,True
LINKUSDT,1H,6.0,10.23,0.25,16,0.639,True
NEARUSDT,1H,6.0,5.75,0.214,14,0.411,True
AAVEUSDT,1H,6.0,5.6,0.214,14,0.4,True
ZENUSDT,1H,3.5,-0.79,0.231,13,-0.061,False
AVAXUSDT,1H,2.5,3.06,0.385,13,0.236,True
LIGHTUSDT,1H,4.5,7.13,0.333,9,0.793,True
XMRUSDT,1H,2.0,-7.5,0.2,15,-0.5,False
DASHUSDT,1H,4.5,12.31,0.444,9,1.368,True
ENAUSDT,1H,6.0,10.32,0.3,10,1.032,True
TAOUSDT,1H,2.5,-7.13,0.188,16,-0.446,False
MONUSDT,1H,3.5,-0.76,0.2,5,-0.152,False
ASTERUSDT,1H,2.0,8.33,0.583,12,0.694,True
SQDUSDT,1H,4.5,8.39,0.308,13,0.645,True
APTUSDT,1H,6.0,-8.64,0.071,14,-0.617,False
SEIUSDT,1H,6.0,8.95,0.273,11,0.814,True
TONUSDT,1H,6.0,8.5,0.273,11,0.772,True
CCUSDT,1H,6.0,0.74,0.167,6,0.124,True
MNTUSDT,1H,3.0,4.13,0.316,19,0.217,True
LYNUSDT,1H,6.0,11.6,0.333,9,1.289,True
XAUTUSDT,1H,6.0,11.37,0.333,15,0.758,True
STRKUSDT,1H,2.5,2.08,0.364,11,0.189,True
NTRNUSDT,1H,4.0,3.61,0.267,15,0.241,True
CRVUSDT,1H,3.5,-4.17,0.167,12,-0.347,False
FILUSDT,1H,2.0,5.66,0.5,14,0.404,True
TRXUSDT,1H,5.0,1.62,0.25,16,0.101,True
MERLUSDT,1H,5.5,10.94,0.286,14,0.782,True
ARBUSDT,1H,5.0,4.83,0.25,12,0.402,True
HUSDT,1H,4.5,-0.38,0.182,11,-0.034,False
HBARUSDT,1H,3.5,11.33,0.5,10,1.133,True
WLDUSDT,1H,6.0,6.87,0.231,13,0.528,True
HIVEUSDT,1H,4.5,0.49,0.214,14,0.035,True
PIEVERSEUSDT,1H,2.0,-4.13,0.0,4,-1.032,False
PUMPFUNUSDT,1H,5.5,6.85,0.222,18,0.381,True
PENGUUSDT,1H,4.0,21.03,0.538,13,1.618,True
APEXUSDT,1H,6.0,-3.67,0.1,10,-0.367,False
MASKUSDT,1H,2.5,-2.78,0.267,15,-0.185,False
AIXBTUSDT,1H,2.0,3.07,0.455,11,0.279,True
ICPUSDT,1H,6.0,17.18,0.312,16,1.074,True
ETCUSDT,1H,6.0,-2.22,0.143,14,-0.159,False
IPUSDT,1H,4.0,6.04,0.308,13,0.465,True
CLOUSDT,1H,2.0,-6.24,0.0,6,-1.039,False
OPUSDT,1H,3.0,3.99,0.318,22,0.181,True
ONDOUSDT,1H,6.0,0.95,0.167,18,0.053,True
VIRTUALUSDT,1H,6.0,3.49,0.188,16,0.218,True
XLMUSDT,1H,6.0,-2.94,0.133,15,-0.196,False
ATOMUSDT,1H,6.0,18.26,0.286,21,0.869,True
TRUMPUSDT,1H,3.0,-0.97,0.273,11,-0.088,False
ACTUSDT,1H,6.0,12.43,0.375,8,1.553,True
LPTUSDT,1H,3.0,5.59,0.385,13,0.43,True
ZKUSDT,1H,5.0,8.91,0.286,14,0.636,True
RIVERUSDT,1H,2.0,5.77,0.667,6,0.962,True
TRUTHUSDT,1H,6.0,0.74,0.167,6,0.123,True
ICNTUSDT,1H,6.0,16.19,0.364,11,1.472,True
IDUSDT,1H,3.5,0.37,0.25,16,0.023,True
INJUSDT,1H,6.0,-2.34,0.133,15,-0.156,False
FLOCKUSDT,1H,6.0,11.04,0.25,16,0.69,True
TIAUSDT,1H,3.0,2.27,0.333,9,0.252,True
SHIB1000USDT,1H,3.0,7.24,0.389,18,0.402,True
WLFIUSDT,1H,3.0,-2.72,0.2,10,-0.272,False
WETUSDT,1H,2.0,-1.03,0.0,1,-1.033,False
GALAUSDT,1H,2.5,-2.33,0.267,15,-0.155,False
PAXGUSDT,1H,4.5,4.95,0.364,11,0.45,True
MOVEUSDT,1H,6.0,13.74,0.308,13,1.057,True
ARCUSDT,1H,2.5,-2.19,0.25,12,-0.182,False
L3USDT,1H,5.0,-0.39,0.182,11,-0.036,False
