symbol,side,signal_type,entry,sl,tp,exit,outcome,bars_held,filled,r_pnl
SOLUSDT,short,hidden_bearish,125.85,129.87,113.78999999999996,129.87,loss,15,True,-1.0
SOLUSDT,short,hidden_bearish,125.74,129.87,113.34999999999997,129.87,loss,13,True,-1.0
SOLUSDT,short,hidden_bearish,127.06,129.87,118.63,129.87,loss,11,True,-1.0
SOLUSDT,short,hidden_bearish,128.14,129.87,122.94999999999993,129.87,loss,9,True,-1.0
SOLUSDT,short,hidden_bearish,127.69,128.54,125.14000000000001,128.54,loss,3,True,-1.0
SOLUSDT,short,hidden_bearish,126.39,128.54,119.94000000000003,128.54,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,128.16,128.9,125.93999999999997,128.9,loss,2,True,-1.0
SOLUSDT,short,hidden_bearish,127.95,128.9,125.1,128.9,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,129.96,130.74,127.62,130.74,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,130.66,131.86,127.05999999999995,131.86,loss,9,True,-1.0
SOLUSDT,short,hidden_bearish,135.59,137.6627348214657,129.3717955356029,137.6627348214657,loss,18,True,-1.0
SOLUSDT,short,hidden_bearish,136.16,137.97,130.73,137.97,loss,16,True,-1.0
SOLUSDT,short,hidden_bearish,135.75,137.73171060219025,129.80486819342926,137.73171060219025,loss,14,True,-1.0
SOLUSDT,short,hidden_bearish,135.88,137.72190707453402,130.35427877639796,137.72190707453402,loss,12,True,-1.0
SOLUSDT,short,hidden_bearish,135.87,137.68281020265,130.43156939205005,137.68281020265,loss,10,True,-1.0
SOLUSDT,short,hidden_bearish,136.28,137.97,131.21,137.97,loss,8,True,-1.0
SOLUSDT,short,hidden_bearish,136.23,137.97,131.00999999999996,137.97,loss,6,True,-1.0
SOLUSDT,short,hidden_bearish,136.71,137.97,132.93000000000004,137.97,loss,4,True,-1.0
SOLUSDT,short,hidden_bearish,136.58,137.03,135.23000000000005,137.03,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,137.48,137.74649896755247,136.68050309734255,137.74649896755247,loss,1,True,-1.0
SOLUSDT,short,hidden_bearish,132.77,134.07,128.87000000000006,128.87000000000006,win,22,True,3.0
SOLUSDT,short,hidden_bearish,132.86,134.07,129.23000000000008,129.23000000000008,win,20,True,3.0
SOLUSDT,short,hidden_bearish,131.98,133.80426988681117,126.50719033956644,133.80426988681117,loss,21,True,-1.0
