symbol,r,exit,max_r,bar_idx,timestamp
POLUSDT,1.6274191562500182,trailed,1.9303125000000252,519,2025-12-16 06:00:00
POLUSDT,2.287332333333371,trailed,5.257619047618986,646,2025-12-17 13:45:00
POLUSDT,0.48418187640737637,trailed,0.8932881269191566,683,2025-12-17 23:00:00
ETHUSDT,1.6185908703814222,trailed,2.3528761763249326,62,2025-12-11 11:45:00
ETHUSDT,-1.0,sl,1.2521717657623013,100,2025-12-11 21:15:00
ETHUSDT,0.46166804542307616,trailed,1.169632524098543,144,2025-12-12 08:15:00
ETHUSDT,-1.0,sl,0.0,236,2025-12-13 07:15:00
ETHUSDT,-1.0,sl,0.04131718083060128,305,2025-12-14 00:30:00
ETHUSDT,0.5274555601578893,trailed,0.8291376115305652,371,2025-12-14 17:00:00
ETHUSDT,-1.0,sl,0.3425706472196927,532,2025-12-16 09:15:00
ETHUSDT,-1.0,sl,0.015981784386645034,546,2025-12-16 12:45:00
ETHUSDT,2.9967,tp,3.3388021490306654,589,2025-12-16 23:30:00
PTBUSDT,-1.0,sl,0.5910476190476268,163,2025-12-12 13:00:00
PTBUSDT,-1.0,sl,0.49156481481481523,219,2025-12-13 03:00:00
PTBUSDT,-1.0,sl,0.0,235,2025-12-13 07:00:00
PTBUSDT,0.5851086837874759,trailed,0.8868542234332555,292,2025-12-13 21:15:00
PTBUSDT,2.9967,tp,3.0649999999999933,343,2025-12-14 10:00:00
PTBUSDT,1.0514128359374997,trailed,1.3536718749999987,371,2025-12-14 17:00:00
PTBUSDT,0.7858756149137951,trailed,1.0878422413793118,554,2025-12-16 14:45:00
PTBUSDT,0.574117467620482,trailed,0.8818750000000003,646,2025-12-17 13:45:00
MOVEUSDT,-1.0,sl,0.5872677824267786,144,2025-12-12 08:15:00
MOVEUSDT,-1.0,sl,0.32050852272727615,195,2025-12-12 21:00:00
MOVEUSDT,-1.0,sl,0.6793333333333743,280,2025-12-13 18:15:00
MOVEUSDT,0.7736029980049874,trailed,1.0755561097256856,373,2025-12-14 17:30:00
MOVEUSDT,-1.0,sl,0.877985294117665,425,2025-12-15 06:30:00
MOVEUSDT,0.9139662516006182,trailed,1.2160739329268346,451,2025-12-15 13:00:00
MOVEUSDT,2.9967,tp,4.558226164079892,487,2025-12-15 22:00:00
MOVEUSDT,-1.0,sl,0.0,519,2025-12-16 06:00:00
MOVEUSDT,0.4453339138297904,trailed,0.7469255319149026,579,2025-12-16 21:00:00
AVNTUSDT,1.0692755356132106,trailed,1.3715542452830203,64,2025-12-11 12:15:00
AVNTUSDT,1.4101459200001014,trailed,1.912800000000046,248,2025-12-13 10:15:00
AVNTUSDT,-1.0,sl,0.10333333333330706,296,2025-12-13 22:15:00
AVNTUSDT,0.5235732526748785,trailed,0.825251028806569,395,2025-12-14 23:00:00
AVNTUSDT,1.276580789694656,trailed,1.7215814249363854,458,2025-12-15 14:45:00
AVNTUSDT,-1.0,sl,0.0,502,2025-12-16 01:45:00
AVNTUSDT,-1.0,sl,0.2867407407407379,547,2025-12-16 13:00:00
AVNTUSDT,0.7499971860557736,trailed,1.0519243027888427,599,2025-12-17 02:00:00
AVNTUSDT,0.39869965544355773,trailed,0.700239919354848,683,2025-12-17 23:00:00
LTCUSDT,0.7334244666667085,trailed,1.035333333333391,62,2025-12-11 11:45:00
LTCUSDT,2.9967,tp,3.044714285714131,73,2025-12-11 14:30:00
LTCUSDT,1.6921291468748731,trailed,2.2450937499997976,84,2025-12-11 17:15:00
LTCUSDT,-1.0,sl,0.0,145,2025-12-12 08:30:00
LTCUSDT,0.4769789059917414,trailed,0.778605371900847,252,2025-12-13 11:15:00
LTCUSDT,0.7681522392508283,trailed,1.0700993485342294,309,2025-12-14 01:30:00
LTCUSDT,1.2256079588235245,trailed,1.528058823529415,337,2025-12-14 08:30:00
LTCUSDT,2.9967,tp,3.4639615384617946,378,2025-12-14 18:45:00
LTCUSDT,0.5021928270588388,trailed,0.8038470588235568,597,2025-12-17 01:30:00
LTCUSDT,-1.0,sl,2.7073235294117404,648,2025-12-17 14:15:00
LTCUSDT,1.193509140410989,trailed,1.495924657534267,683,2025-12-17 23:00:00
CRVUSDT,0.40113205750000475,trailed,0.7026749999999992,378,2025-12-14 18:45:00
CRVUSDT,0.42594175600962303,trailed,0.7275120192307777,485,2025-12-15 21:30:00
CRVUSDT,-1.0,sl,0.35800000000001775,505,2025-12-16 02:30:00
CRVUSDT,2.3742842000000515,trailed,2.6780000000000483,672,2025-12-17 20:15:00
PUMPFUNUSDT,-1.0,sl,0.0,100,2025-12-11 21:15:00
PUMPFUNUSDT,-1.0,sl,0.0,161,2025-12-12 12:30:00
PUMPFUNUSDT,-1.0,sl,0.0,199,2025-12-12 22:00:00
PUMPFUNUSDT,-1.0,sl,2.4504268292683187,211,2025-12-13 01:00:00
PUMPFUNUSDT,1.4188330856209337,trailed,3.002542483660159,344,2025-12-14 10:15:00
PUMPFUNUSDT,0.75937736851853,trailed,1.3205740740740868,378,2025-12-14 18:45:00
PUMPFUNUSDT,0.5994363569767451,trailed,0.9244534883721001,488,2025-12-15 22:15:00
PUMPFUNUSDT,-1.0,sl,0.0,583,2025-12-16 22:00:00
PUMPFUNUSDT,-1.0,sl,0.0,630,2025-12-17 09:45:00
USELESSUSDT,-1.0,sl,0.0,64,2025-12-11 12:15:00
USELESSUSDT,-1.0,sl,0.0,100,2025-12-11 21:15:00
USELESSUSDT,0.45311968581040246,trailed,0.7547198776758476,195,2025-12-12 21:00:00
USELESSUSDT,1.2043345208428236,trailed,1.5067619589977235,371,2025-12-14 17:00:00
USELESSUSDT,-1.0,sl,0.0,398,2025-12-14 23:45:00
USELESSUSDT,1.3737535453642171,trailed,1.6763675496688566,570,2025-12-16 18:45:00
USELESSUSDT,0.41154384519649767,trailed,0.713098253275105,631,2025-12-17 10:00:00
JUPUSDT,1.0266349133333492,trailed,1.3288666666666862,73,2025-12-11 14:30:00
JUPUSDT,0.7389984567307741,trailed,1.0409134615384665,124,2025-12-12 03:15:00
JUPUSDT,-1.0,sl,0.0,210,2025-12-13 00:45:00
JUPUSDT,0.5709575437500263,trailed,0.8726875000000159,280,2025-12-13 18:15:00
JUPUSDT,0.5976906050000286,trailed,0.8994500000000231,354,2025-12-14 12:45:00
JUPUSDT,0.5112732687500078,trailed,0.8129375000000147,378,2025-12-14 18:45:00
JUPUSDT,-1.0,sl,0.5205735294117603,491,2025-12-15 23:00:00
JUPUSDT,0.5579272500000009,trailed,0.8596428571428639,589,2025-12-16 23:30:00
JUPUSDT,0.5852249205882296,trailed,0.8869705882352934,683,2025-12-17 23:00:00
AEROUSDT,-1.0,sl,0.0,74,2025-12-11 14:45:00
AEROUSDT,-1.0,sl,0.11076612903226755,131,2025-12-12 05:00:00
AEROUSDT,-1.0,sl,0.3460604265402761,144,2025-12-12 08:15:00
AEROUSDT,-1.0,sl,0.0,196,2025-12-12 21:15:00
AEROUSDT,0.8719193903846185,trailed,1.1739807692307689,251,2025-12-13 11:00:00
AEROUSDT,0.6155035978261665,trailed,0.9172826086957222,435,2025-12-15 09:00:00
AEROUSDT,0.7958292306818159,trailed,1.143261363636353,587,2025-12-16 23:00:00
PLUMEUSDT,2.9967,tp,5.47045977011488,61,2025-12-11 11:30:00
PLUMEUSDT,1.8844486124999955,trailed,3.43762499999998,76,2025-12-11 15:15:00
PLUMEUSDT,1.395512035000023,trailed,3.698150000000013,101,2025-12-11 21:30:00
PLUMEUSDT,0.7560074411764693,trailed,1.1167647058823431,137,2025-12-12 06:30:00
PLUMEUSDT,0.6039337299999764,trailed,0.9056999999999903,236,2025-12-13 07:15:00
PLUMEUSDT,0.45383651874999376,trailed,1.2554374999999893,344,2025-12-14 10:15:00
