symbol,type,side,r,exit,max_r,bars,timestamp
SUIUSDT,hidden_bearish,short,0.7091533180778045,trailed,1.0091533180778034,4,2025-11-14 08:00:00
SUIUSDT,hidden_bearish,short,0.620099875156053,trailed,0.9200998751560527,5,2025-11-14 18:00:00
SUIUSDT,hidden_bearish,short,0.45342465753425304,trailed,1.664383561643856,2,2025-11-15 13:00:00
SUIUSDT,hidden_bearish,short,-1.0,loss,0.6270396270396313,7,2025-11-22 18:00:00
SUIUSDT,hidden_bearish,short,0.7000000000000024,trailed,1.0,2,2025-11-23 13:00:00
SUIUSDT,hidden_bearish,short,0.5369945082376442,trailed,0.9313529705441814,4,2025-11-26 08:00:00
SUIUSDT,hidden_bearish,short,0.43864563502855336,trailed,0.738645635028555,10,2025-11-28 20:00:00
SUIUSDT,hidden_bearish,short,0.6748953974895472,trailed,1.1506276150627632,6,2025-11-29 11:00:00
SUIUSDT,hidden_bearish,short,0.8810699588477433,trailed,1.6995884773662606,2,2025-12-08 21:00:00
SUIUSDT,hidden_bearish,short,1.6869706840390908,trailed,3.5244299674267183,2,2025-12-15 12:00:00
HBARUSDT,hidden_bearish,short,0.4923181509177424,trailed,0.7923181509177436,4,2025-10-03 04:00:00
HBARUSDT,hidden_bearish,short,-1.0,loss,0.4888337468982622,5,2025-10-08 11:00:00
HBARUSDT,hidden_bearish,short,0.41787709497207404,trailed,0.8435754189944198,4,2025-10-09 22:00:00
HBARUSDT,hidden_bearish,short,0.5368732209327772,trailed,0.8368732209327777,2,2025-10-11 19:00:00
HBARUSDT,hidden_bearish,short,1.0828306264501284,trailed,1.382830626450127,3,2025-10-16 06:00:00
HBARUSDT,hidden_bearish,short,0.8075949367088613,trailed,1.1265822784810164,3,2025-10-18 21:00:00
HBARUSDT,hidden_bearish,short,-1.0,loss,0.8668730650154852,1,2025-10-19 07:00:00
HBARUSDT,hidden_bearish,short,0.511713836477991,trailed,0.81171383647799,2,2025-10-22 13:00:00
HBARUSDT,hidden_bearish,short,1.3438848920863364,trailed,1.643884892086338,4,2025-11-04 01:00:00
HBARUSDT,hidden_bearish,short,0.6724310776942344,trailed,1.2907268170426125,2,2025-11-04 11:00:00
HBARUSDT,hidden_bearish,short,0.6015016543649844,trailed,0.9210995164163945,2,2025-11-14 10:00:00
HBARUSDT,hidden_bearish,short,2.4738095238094977,trailed,3.7499999999999503,2,2025-11-15 13:00:00
HBARUSDT,hidden_bearish,short,2.286538461538424,trailed,2.9038461538461124,2,2025-11-19 01:00:00
HBARUSDT,hidden_bearish,short,1.3069364161849555,trailed,2.2427745664739733,2,2025-11-20 12:00:00
HBARUSDT,hidden_bearish,short,1.281967213114752,trailed,1.5819672131147566,10,2025-11-27 02:00:00
HBARUSDT,hidden_bearish,short,0.4268041237113384,trailed,0.7268041237113384,7,2025-11-29 20:00:00
HBARUSDT,hidden_bearish,short,0.4960553923625706,trailed,0.7960553923625737,2,2025-12-01 14:00:00
HBARUSDT,hidden_bearish,short,1.0703703703703524,trailed,1.3703703703703585,8,2025-12-08 17:00:00
HBARUSDT,hidden_bearish,short,0.6371069182389952,trailed,1.6855345911949737,3,2025-12-13 11:00:00
HBARUSDT,hidden_bearish,short,1.4477124183006476,trailed,2.749673202614378,2,2025-12-15 12:00:00
BERAUSDT,hidden_bearish,short,1.0246753246753249,trailed,1.3246753246753238,4,2025-10-02 21:00:00
BERAUSDT,hidden_bearish,short,0.8967213114754102,trailed,1.2295081967213082,6,2025-10-05 13:00:00
BERAUSDT,hidden_bearish,short,1.358227848101266,trailed,2.0379746835443053,5,2025-10-11 15:00:00
BERAUSDT,hidden_bearish,short,0.5636363636363717,trailed,0.8636363636363686,2,2025-10-18 17:00:00
BERAUSDT,hidden_bearish,short,0.5888888888888917,trailed,1.0370370370370412,2,2025-10-19 03:00:00
BERAUSDT,hidden_bearish,short,0.4443037974683553,trailed,0.7443037974683547,2,2025-10-24 23:00:00
BERAUSDT,hidden_bearish,short,1.0043478260869658,trailed,1.7826086956521874,2,2025-10-31 11:00:00
BERAUSDT,hidden_bearish,short,1.5235294117646836,trailed,1.8235294117646874,2,2025-11-02 07:00:00
BERAUSDT,hidden_bearish,short,0.5206039076376555,trailed,0.8952042628774435,7,2025-11-04 11:00:00
BERAUSDT,hidden_bearish,short,1.9127659574468132,trailed,2.212765957446814,3,2025-11-04 22:00:00
BERAUSDT,hidden_bearish,short,0.6166666666666676,trailed,0.9166666666666666,2,2025-11-05 08:00:00
BERAUSDT,hidden_bearish,short,2.0636363636363666,trailed,2.818181818181808,3,2025-11-05 20:00:00
BERAUSDT,hidden_bearish,short,1.2263157894736825,trailed,1.8157894736842075,4,2025-11-08 22:00:00
BERAUSDT,hidden_bearish,short,0.4499999999999986,trailed,0.75,3,2025-11-15 13:00:00
BERAUSDT,hidden_bearish,short,0.7909090909090932,trailed,1.9696969696969797,2,2025-11-20 12:00:00
BERAUSDT,hidden_bearish,short,2.5749999999999917,trailed,2.8749999999999862,2,2025-11-22 22:00:00
BERAUSDT,hidden_bearish,short,0.6204545454545457,trailed,0.9204545454545419,2,2025-11-25 23:00:00
BERAUSDT,hidden_bearish,short,1.4045454545454676,trailed,2.174242424242457,3,2025-11-26 17:00:00
BERAUSDT,hidden_bearish,short,0.4594815170427273,trailed,0.7594815170427256,2,2025-12-05 12:00:00
BERAUSDT,hidden_bearish,short,-1.0,loss,0.6147994467496507,9,2025-12-06 07:00:00
BERAUSDT,hidden_bearish,short,0.40503597122302587,trailed,0.7050359712230283,2,2025-12-16 20:00:00
AXLUSDT,hidden_bearish,short,3.0,tp,4.315789473684173,1,2025-10-02 12:00:00
AXLUSDT,hidden_bearish,short,-1.0,loss,0.0,2,2025-10-05 00:00:00
AXLUSDT,hidden_bearish,short,1.3785714285714072,trailed,1.6785714285714073,2,2025-10-08 08:00:00
AXLUSDT,hidden_bearish,short,0.40000000000000224,trailed,0.7000000000000038,2,2025-10-14 23:00:00
AXLUSDT,hidden_bearish,short,1.7000000000000013,trailed,2.0,2,2025-10-24 12:00:00
AXLUSDT,hidden_bearish,short,1.159016393442623,trailed,1.4590163934426228,5,2025-11-04 00:00:00
AXLUSDT,hidden_bearish,short,3.0,tp,3.4666666666666517,1,2025-11-06 03:00:00
AXLUSDT,hidden_bearish,short,-1.0,loss,0.5623268698060911,5,2025-11-09 08:00:00
AXLUSDT,hidden_bearish,short,3.0,tp,3.5555555555555443,2,2025-11-13 14:00:00
AXLUSDT,hidden_bearish,short,0.5532731376975214,trailed,1.1218961625282158,4,2025-11-14 07:00:00
AXLUSDT,hidden_bearish,short,0.7749999999999972,trailed,1.0749999999999986,5,2025-11-14 18:00:00
AXLUSDT,hidden_bearish,short,0.5,trailed,0.8,2,2025-11-27 01:00:00
AXLUSDT,hidden_bearish,short,0.4727272727272771,trailed,0.8636363636363539,4,2025-11-29 11:00:00
AXLUSDT,hidden_bearish,short,0.4986577181207998,trailed,0.7986577181208016,2,2025-12-09 08:00:00
AXLUSDT,hidden_bearish,short,1.023529411764705,trailed,1.323529411764707,3,2025-12-11 21:00:00
AXLUSDT,hidden_bearish,short,1.2000000000000008,trailed,1.6250000000000016,2,2025-12-16 23:00:00
PENGUUSDT,hidden_bearish,short,-1.0,loss,0.0,1,2025-10-05 00:00:00
PENGUUSDT,hidden_bearish,short,-1.0,loss,0.3222857142857164,4,2025-10-06 09:00:00
