symbol,div_type,atr,rr,trades,wr,total_r,avg_r
BATUSDT,REG_BULL,2.0,9.0,42,26.2,66.32,1.579
BATUSDT,REG_BULL,2.0,10.0,42,26.2,77.32,1.841
BANANAUSDT,HID_BULL,1.0,1.5,32,56.2,10.56,0.33
BANANAUSDT,HID_BULL,1.0,2.0,32,56.2,19.56,0.611
BANUSDT,HID_BULL,1.0,4.0,49,34.7,32.05,0.654
BANANAUSDT,HID_BULL,1.0,3.0,32,50.0,29.56,0.924
BANUSDT,HID_BULL,1.0,5.0,49,34.7,49.05,1.001
BANANAUSDT,HID_BULL,1.0,4.0,32,37.5,25.56,0.799
BANANAUSDT,HID_BULL,1.0,5.0,32,37.5,37.56,1.174
BANUSDT,HID_BULL,1.0,6.0,46,30.4,48.28,1.05
BANUSDT,HID_BULL,1.0,7.0,46,28.3,54.28,1.18
BANUSDT,HID_BULL,1.0,8.0,46,26.1,58.28,1.267
BANUSDT,HID_BULL,1.0,9.0,46,26.1,70.28,1.528
BANANAUSDT,HID_BULL,1.5,1.5,32,62.5,16.37,0.512
BEAMUSDT,REG_BEAR,1.0,1.5,47,53.2,12.06,0.256
BANANAUSDT,HID_BULL,1.5,2.0,32,53.1,17.37,0.543
BANUSDT,HID_BULL,1.5,1.5,50,48.0,7.32,0.146
BEAMUSDT,REG_BEAR,1.0,2.0,47,51.1,21.56,0.459
BANUSDT,HID_BULL,1.5,2.0,49,46.9,17.37,0.354
BANANAUSDT,HID_BULL,1.5,4.0,32,25.0,6.37,0.199
BANANAUSDT,HID_BULL,1.5,5.0,32,25.0,14.37,0.449
BANUSDT,HID_BULL,1.5,4.0,46,30.4,21.52,0.468
BARDUSDT,HID_BULL,1.5,1.5,51,60.8,23.73,0.465
BANUSDT,HID_BULL,1.5,5.0,46,26.1,23.52,0.511
BARDUSDT,HID_BULL,1.5,2.0,51,54.9,30.23,0.593
BANUSDT,HID_BULL,1.5,6.0,46,26.1,35.52,0.772
BANANAUSDT,HID_BULL,2.0,1.5,32,71.9,24.28,0.759
BARDUSDT,HID_BULL,1.5,3.0,51,47.1,42.23,0.828
BANANAUSDT,HID_BULL,2.0,2.0,32,59.4,23.78,0.743
BARDUSDT,HID_BULL,1.5,4.0,51,37.3,41.23,0.808
BANANAUSDT,HID_BULL,2.0,4.0,28,35.7,20.91,0.747
BARDUSDT,HID_BULL,1.5,5.0,51,35.3,54.23,1.063
BANUSDT,HID_BULL,2.0,1.5,49,53.1,14.03,0.286
BANUSDT,HID_BULL,2.0,2.0,49,51.0,24.03,0.49
BANUSDT,HID_BULL,2.0,3.0,46,47.8,40.14,0.873
BEAMUSDT,REG_BEAR,1.5,1.5,47,59.6,20.7,0.441
BANUSDT,HID_BULL,2.0,4.0,46,43.5,52.14,1.134
BEAMUSDT,REG_BEAR,1.5,2.0,47,59.6,34.7,0.738
BANUSDT,HID_BULL,2.0,5.0,45,31.1,37.19,0.826
BANANAUSDT,HID_BEAR,1.0,1.5,120,69.2,76.28,0.636
BANUSDT,HID_BULL,2.0,6.0,45,31.1,51.19,1.137
BATUSDT,HID_BULL,1.0,4.0,46,28.3,15.45,0.336
BBUSDT,HID_BULL,2.0,4.0,34,26.5,9.87,0.29
BARDUSDT,HID_BULL,2.0,1.5,51,66.7,31.92,0.626
BBUSDT,HID_BULL,2.0,5.0,34,26.5,18.87,0.555
BANUSDT,HID_BULL,2.0,7.0,45,31.1,65.19,1.449
BATUSDT,HID_BULL,1.0,5.0,46,28.3,28.45,0.619
BBUSDT,HID_BULL,2.0,6.0,34,26.5,27.87,0.82
BANANAUSDT,HID_BEAR,1.0,2.0,120,69.2,117.78,0.982
BARDUSDT,HID_BULL,2.0,2.0,51,60.8,39.92,0.783
BANDUSDT,HID_BEAR,2.0,1.5,73,46.6,8.46,0.116
BANUSDT,HID_BULL,2.0,8.0,45,31.1,79.19,1.76
BATUSDT,HID_BULL,1.0,6.0,46,28.3,41.45,0.901
BARDUSDT,HID_BULL,2.0,3.0,51,49.0,46.92,0.92
