symbol,div_type,atr,rr,avg_r_per_trade,source,tier,test_trades_norm
SNXUSDT,HID_BEAR,1.0,10.0,0.583076923076923,bear_tested,1,13
SNXUSDT,HID_BULL,1.0,5.0,0.721,bear_tested,1,10
SOLAYERUSDT,HID_BEAR,2.0,9.0,1.8085714285714285,bear_tested,1,21
SOLAYERUSDT,REG_BULL,2.0,10.0,2.0814285714285714,bull_tested,1,7
SOLUSDT,HID_BULL,2.0,8.0,0.705,bear_tested,1,10
SOLUSDT,REG_BEAR,1.0,9.0,0.4975,bear_tested,1,12
SONICUSDT,HID_BEAR,2.0,7.0,0.9545,bear_tested,1,20
SOONUSDT,HID_BEAR,2.0,10.0,2.1,bear_tested,1,14
SPXUSDT,HID_BEAR,1.0,1.5,0.6436842105263159,bear_tested,1,19
SQDUSDT,HID_BEAR,2.0,10.0,4.02923076923077,bear_tested,1,13
SSVUSDT,HID_BULL,1.0,10.0,0.47285714285714286,bear_tested,1,7
SSVUSDT,REG_BEAR,1.0,10.0,1.114,bear_tested,1,5
STABLEUSDT,HID_BULL,2.0,7.0,1.635,bear_tested,1,6
STEEMUSDT,REG_BEAR,2.0,5.0,0.425,bull_tested,1,8
STEEMUSDT,REG_BULL,2.0,5.0,0.9333333333333332,bull_tested,1,6
STGUSDT,REG_BEAR,1.5,7.0,1.1857142857142857,bull_tested,1,7
STGUSDT,REG_BULL,1.5,6.0,0.352,bear_tested,1,5
STORJUSDT,REG_BEAR,1.0,6.0,0.40444444444444444,bull_tested,1,9
STRKUSDT,HID_BULL,2.0,2.0,0.6628571428571428,bear_tested,1,7
STXUSDT,HID_BEAR,1.5,10.0,1.282142857142857,bear_tested,1,14
STXUSDT,HID_BULL,1.0,4.0,0.5622222222222222,bear_tested,1,9
SUIUSDT,REG_BEAR,1.5,9.0,1.1544444444444446,bear_tested,1,9
SUIUSDT,REG_BULL,1.5,10.0,0.765,bull_tested,1,6
SUNUSDT,REG_BEAR,1.5,8.0,0.628,bull_tested,1,5
SUPERUSDT,HID_BEAR,1.5,10.0,1.3239130434782609,bear_tested,1,23
SUPERUSDT,HID_BULL,1.5,4.0,0.7064705882352941,bull_tested,1,17
SUSDT,REG_BEAR,1.5,10.0,1.6825,bear_tested,1,8
SUSHIUSDT,REG_BULL,2.0,5.0,0.45615384615384613,all_weather,0,52
SXPUSDT,REG_BEAR,2.0,8.0,0.741,all_weather,0,60
SXPUSDT,REG_BULL,1.0,9.0,4.868,bull_tested,1,5
TAIKOUSDT,HID_BEAR,1.0,10.0,2.2623076923076924,bear_tested,1,13
TAIKOUSDT,REG_BULL,2.0,6.0,3.94,bull_tested,1,7
TAOUSDT,HID_BEAR,1.0,9.0,2.0895454545454544,bear_tested,1,22
THEUSDT,REG_BULL,1.5,5.0,0.9483333333333334,bull_tested,1,6
TIAUSDT,HID_BEAR,1.5,9.0,0.7058823529411765,bear_tested,1,17
TLMUSDT,HID_BEAR,1.5,9.0,0.6952941176470588,bear_tested,1,17
TONUSDT,REG_BULL,2.0,7.0,0.71,bull_tested,1,9
TOWNSUSDT,REG_BEAR,1.0,8.0,0.72,bear_tested,1,5
TRBUSDT,REG_BEAR,1.0,7.0,0.34454545454545454,bear_tested,1,11
TRUMPUSDT,HID_BEAR,1.5,10.0,2.1955,bear_tested,1,20
TRUUSDT,REG_BEAR,1.0,8.0,1.4742857142857144,bear_tested,1,7
TRXUSDT,REG_BEAR,1.5,10.0,1.94,bull_tested,1,7
TRXUSDT,REG_BULL,1.5,10.0,3.494285714285714,bull_tested,1,7
TUSDT,HID_BEAR,2.0,10.0,0.22529411764705884,bear_tested,1,17
TWTUSDT,REG_BEAR,2.0,5.0,0.4325,bear_tested,1,8
TWTUSDT,REG_BULL,1.5,6.0,2.4125,bull_tested,1,8
UBUSDT,HID_BULL,1.0,10.0,0.9372727272727274,bear_tested,1,11
UMAUSDT,HID_BEAR,1.0,10.0,0.945,bear_tested,1,16
UNIUSDT,HID_BEAR,1.0,8.0,0.39111111111111113,bear_tested,1,18
UNIUSDT,HID_BULL,1.0,1.5,1.3980000000000001,bear_tested,1,5
USELESSUSDT,HID_BEAR,2.0,4.0,0.4057142857142857,bear_tested,1,14
USTCUSDT,REG_BEAR,1.0,10.0,0.27875,bear_tested,1,8
