symbol,div_type,atr,rr,trades,wr,total_r,avg_r
STORJUSDT,REG_BEAR,1.5,4.0,74,28.4,24.99,0.338
MYXUSDT,HID_BULL,1.5,7.0,21,23.8,18.36,0.874
GRTUSDT,HID_BULL,2.0,5.0,130,48.5,241.93,1.861
PIXELUSDT,HID_BEAR,2.0,5.0,97,22.7,31.32,0.323
AVLUSDT,REG_BULL,1.5,8.0,19,26.3,25.29,1.331
MYXUSDT,HID_BULL,1.5,8.0,21,23.8,23.36,1.113
USUALUSDT,REG_BULL,1.0,1.5,18,55.6,5.85,0.325
AVLUSDT,REG_BULL,1.5,9.0,19,26.3,30.29,1.594
MYXUSDT,HID_BULL,1.5,9.0,21,23.8,28.36,1.351
BIGTIMEUSDT,REG_BEAR,2.0,2.0,51,43.1,12.77,0.25
USUALUSDT,REG_BULL,1.0,2.0,18,50.0,7.85,0.436
AVLUSDT,REG_BULL,1.5,10.0,19,26.3,35.29,1.857
LDOUSDT,REG_BULL,1.0,6.0,90,21.1,35.91,0.399
USUALUSDT,REG_BULL,1.0,3.0,18,44.4,12.85,0.714
GRIFFAINUSDT,HID_BEAR,1.5,1.5,70,51.4,17.74,0.253
USUALUSDT,REG_BULL,1.0,4.0,18,44.4,20.85,1.159
STORJUSDT,REG_BEAR,1.5,5.0,74,21.6,15.99,0.216
USUALUSDT,REG_BULL,1.0,5.0,18,27.8,10.85,0.603
MYXUSDT,HID_BULL,2.0,4.0,21,28.6,8.52,0.406
GRTUSDT,HID_BULL,2.0,6.0,130,46.9,290.93,2.238
USUALUSDT,REG_BULL,1.0,6.0,18,22.2,8.85,0.492
AVLUSDT,REG_BULL,2.0,4.0,19,31.6,10.47,0.551
CHZUSDT,REG_BEAR,2.0,4.0,90,33.3,54.31,0.603
PIXELUSDT,HID_BEAR,2.0,6.0,97,21.6,46.32,0.478
MYXUSDT,HID_BULL,2.0,5.0,21,28.6,14.52,0.692
AVLUSDT,REG_BULL,2.0,5.0,19,31.6,16.47,0.867
MYXUSDT,HID_BULL,2.0,6.0,21,28.6,20.52,0.977
BIGTIMEUSDT,REG_BEAR,2.0,4.0,50,30.0,22.79,0.456
ATUSDT,HID_BEAR,1.5,5.0,10,20.0,1.63,0.163
AVLUSDT,REG_BULL,2.0,6.0,19,26.3,15.47,0.814
MYXUSDT,HID_BULL,2.0,7.0,21,28.6,26.52,1.263
ATUSDT,HID_BEAR,1.5,6.0,10,20.0,3.63,0.363
ATUSDT,HID_BEAR,1.5,7.0,10,20.0,5.63,0.563
MYXUSDT,HID_BULL,2.0,8.0,20,20.0,15.53,0.776
AVLUSDT,REG_BULL,2.0,7.0,19,26.3,20.47,1.077
AVLUSDT,REG_BULL,2.0,8.0,19,26.3,25.47,1.34
USUALUSDT,REG_BULL,1.5,1.5,18,55.6,6.24,0.346
BIGTIMEUSDT,REG_BEAR,2.0,5.0,50,28.0,31.79,0.636
AVLUSDT,REG_BULL,2.0,9.0,19,26.3,30.47,1.603
ATUSDT,HID_BEAR,2.0,5.0,10,20.0,1.73,0.173
USUALUSDT,REG_BULL,1.5,2.0,18,50.0,8.24,0.458
GRTUSDT,HID_BULL,2.0,7.0,130,46.9,351.93,2.707
MYXUSDT,HID_BEAR,1.0,1.5,23,47.8,3.43,0.149
PIXELUSDT,HID_BEAR,2.0,7.0,97,20.6,59.32,0.612
AVLUSDT,REG_BULL,2.0,10.0,19,26.3,35.47,1.867
CHZUSDT,REG_BEAR,2.0,5.0,90,28.9,60.31,0.67
MYXUSDT,HID_BEAR,1.0,2.0,23,43.5,5.93,0.258
AVLUSDT,REG_BEAR,1.0,1.5,25,56.0,8.04,0.322
BIGTIMEUSDT,REG_BEAR,2.0,6.0,50,24.0,31.79,0.636
