Config,SL,Trail,Filter,Cooldown,N,WR,Total_R,Avg_R,PF,Status
ATR_1x|Trail_Tight|Hidden_Only|CD15,ATR_1x,Trail_Tight,Hidden_Only,15,3137,70.8957602805228,306.4885338679672,0.0977011583895337,1.3216644550586725,✅
ATR_2x|Trail_Tight|Hidden_Only|CD5,ATR_2x,Trail_Tight,Hidden_Only,5,4203,74.89888175113015,303.2939989768985,0.07216131310418712,1.278679878832237,✅
ATR_2x|Static_1:3|All_Signals|CD5,ATR_2x,Static_1:3,All_Signals,5,7017,30.782385634886705,303.14948833677977,0.04320215025463585,1.0612806797342489,✅
ATR_1x|Trail_Medium|Bearish_Only|CD15,ATR_1x,Trail_Medium,Bearish_Only,15,2879,66.8982285515804,302.8018565358461,0.10517605298223207,1.3055535534312606,✅
ATR_1x|Trail_Loose|Bearish_Only|CD10,ATR_1x,Trail_Loose,Bearish_Only,10,3142,61.266709102482494,300.92973669736864,0.09577649162869785,1.237466819342012,✅
ATR_2x|Trail_Tight_3R|Bearish_Only|CD10,ATR_2x,Trail_Tight_3R,Bearish_Only,10,3142,76.67091024824953,300.41622213466144,0.0956130560581354,1.3973444773694477,✅
ATR_1x|Trail_Medium|Hidden_Only|CD5,ATR_1x,Trail_Medium,Hidden_Only,5,4203,64.3587913395194,299.1550780324994,0.07117655913216735,1.1919327268346083,✅
Fixed_3%|Trail_Tight|Hidden_Only|CD15,Fixed_3%,Trail_Tight,Hidden_Only,15,3137,72.90404845393688,298.62338152755615,0.09519393736931978,1.3460628539510995,✅
Fixed_2%|Static_1:4|Hidden_Only|CD5,Fixed_2%,Static_1:4,Hidden_Only,5,4203,25.267665952890795,298.35508181148754,0.07098621979811742,1.0911060753783692,✅
ATR_1.5x|Trail_Tight|Bearish_Only|CD15,ATR_1.5x,Trail_Tight,Bearish_Only,15,2879,74.574505036471,298.1014651609272,0.10354340575231928,1.3921507042266343,✅
ATR_1.5x|Trail_Medium_3R|All_Signals|CD15,ATR_1.5x,Trail_Medium_3R,All_Signals,15,4764,66.16288832913519,298.0812348737186,0.06256952873083933,1.178762684750914,✅
Fixed_3%|Trail_Medium|Bearish_Only|CD15,Fixed_3%,Trail_Medium,Bearish_Only,15,2879,67.52344564084751,298.02537228618456,0.10351697543806342,1.3141232898768365,✅
ATR_2x|Trail_Medium_3R|All_Signals|CD10,ATR_2x,Trail_Medium_3R,All_Signals,10,5425,67.26267281105991,295.118351321776,0.05439969609617991,1.1617410735664127,✅
ATR_2x|Trail_Tight|Bearish_Only|CD10,ATR_2x,Trail_Tight,Bearish_Only,10,3142,76.67091024824953,294.47821159810394,0.09372317364675492,1.3894905882668647,✅
ATR_1.5x|Trail_Loose|Bearish_Only|CD5,ATR_1.5x,Trail_Loose,Bearish_Only,5,3805,61.78712220762155,294.4297999483994,0.07737971089314045,1.195474533219151,✅
Fixed_3%|Trail_Loose|All_Signals|CD10,Fixed_3%,Trail_Loose,All_Signals,10,5425,59.373271889400925,294.2093517899879,0.05423213857879962,1.1313006872068965,✅
ATR_1.5x|Trail_Tight_3R|Hidden_Only|CD10,ATR_1.5x,Trail_Tight_3R,Hidden_Only,10,3369,73.2264766993173,293.84969039280486,0.08722163561674232,1.313600398087189,✅
ATR_2x|Static_1:4|Hidden_Bearish|CD10,ATR_2x,Static_1:4,Hidden_Bearish,10,1855,29.487870619946094,292.6724636795526,0.15777491303479924,1.2199177931454692,✅
Fixed_3%|Trail_Loose|Bearish_Only|CD10,Fixed_3%,Trail_Loose,Bearish_Only,10,3142,61.203055378739656,291.0009943035138,0.0926164845014366,1.2352651609700673,✅
Fixed_3%|Trail_Tight_3R|Hidden_Bearish|CD5,Fixed_3%,Trail_Tight_3R,Hidden_Bearish,5,2247,74.45482866043614,288.6119188660545,0.12844322156922763,1.4951181736308896,✅
ATR_1.5x|Static_1:3|Bearish_Only|CD10,ATR_1.5x,Static_1:3,Bearish_Only,10,3142,30.36282622533418,288.5773595836261,0.09184511762687018,1.1279686203929393,✅
Fixed_3%|Static_1:3|Hidden_Only|CD10,Fixed_3%,Static_1:3,Hidden_Only,10,3369,32.73968536657762,288.3758442272592,0.08559686679348745,1.126194119206317,✅
Fixed_2%|Trail_Medium_3R|Hidden_Bearish|CD5,Fixed_2%,Trail_Medium_3R,Hidden_Bearish,5,2247,63.951935914552735,288.28600672878275,0.1282981783394672,1.340063565062816,✅
ATR_2x|Trail_Medium_3R|Bearish_Only|CD5,ATR_2x,Trail_Medium_3R,Bearish_Only,5,3805,68.80420499342969,286.39223051720165,0.07526734047758256,1.234664592915535,✅
ATR_1x|Static_1:3|Bearish_Only|CD10,ATR_1x,Static_1:3,Bearish_Only,10,3142,29.949077021005728,286.02160073085554,0.09103169978703232,1.1251386517966226,✅
ATR_2x|Static_1:3|All_Signals|CD10,ATR_2x,Static_1:3,All_Signals,10,5425,31.05990783410138,284.96538409021224,0.05252818139911746,1.074839903894696,✅
Fixed_2%|Trail_Loose|Bearish_Only|CD15,Fixed_2%,Trail_Loose,Bearish_Only,15,2879,59.32615491490101,283.44170233796285,0.09845144228480822,1.2312233908315162,✅
Fixed_2%|Trail_Tight|Hidden_Bearish|CD5,Fixed_2%,Trail_Tight,Hidden_Bearish,5,2247,69.60391633288829,282.74034429403395,0.12583014877349086,1.394917706350907,✅
ATR_1x|Trail_Loose|All_Signals|CD15,ATR_1x,Trail_Loose,All_Signals,15,4764,59.55079764903443,281.4831924014287,0.05908547279626967,1.1402942564413503,✅
Fixed_3%|Trail_Medium_3R|Hidden_Only|CD15,Fixed_3%,Trail_Medium_3R,Hidden_Only,15,3137,65.12591648071407,280.75602831421094,0.0894982557584351,1.253346931052549,✅
Fixed_2%|Static_1:4|All_Signals|CD15,Fixed_2%,Static_1:4,All_Signals,15,4764,25.377833753148614,279.493266549482,0.058667772155642735,1.0752985081401227,✅
ATR_1x|Trail_Tight_3R|Hidden_Bearish|CD5,ATR_1x,Trail_Tight_3R,Hidden_Bearish,5,2247,71.69559412550068,279.0952845715151,0.12420795931086565,1.4204687456728777,✅
Fixed_2%|Static_1:2|Bearish_Only|CD5,Fixed_2%,Static_1:2,Bearish_Only,5,3805,38.107752956636006,278.6142078704457,0.07322318209472949,1.1131657660989753,✅
ATR_1.5x|Trail_Tight|Hidden_Only|CD10,ATR_1.5x,Trail_Tight,Hidden_Only,10,3369,73.2264766993173,277.0542896226986,0.08223635785773185,1.2956761172737639,✅
Fixed_3%|Trail_Medium|Hidden_Only|CD10,Fixed_3%,Trail_Medium,Hidden_Only,10,3369,65.5387355298308,276.4725133891134,0.08206367271864451,1.2348231489871815,✅
ATR_1x|Static_1:4|Hidden_Only|CD5,ATR_1x,Static_1:4,Hidden_Only,5,4203,25.196288365453245,274.2845920101998,0.06525924149659762,1.084180243005199,✅
Fixed_2%|Trail_Medium_3R|Hidden_Only|CD15,Fixed_2%,Trail_Medium_3R,Hidden_Only,15,3137,61.71501434491552,271.0475673813163,0.08640343238167558,1.2160044787464779,✅
ATR_2x|Trail_Medium|Bearish_Only|CD5,ATR_2x,Trail_Medium,Bearish_Only,5,3805,68.80420499342969,270.7816712236845,0.07116469677363588,1.221873584112043,✅
ATR_2x|Static_1:2|Bearish_Only|CD5,ATR_2x,Static_1:2,Bearish_Only,5,3805,37.97634691195795,270.3734908042552,0.0710574220247714,1.111898756844389,✅
ATR_2x|Trail_Medium|All_Signals|CD10,ATR_2x,Trail_Medium,All_Signals,10,5425,67.26267281105991,270.3643973889582,0.04983675527907064,1.1481745465572468,✅
Fixed_3%|Trail_Tight|Hidden_Bearish|CD5,Fixed_3%,Trail_Tight,Hidden_Bearish,5,2247,74.45482866043614,265.49818552410176,0.11815673588077515,1.4554662095573925,✅
ATR_1x|Trail_Medium_3R|Hidden_Only|CD10,ATR_1x,Trail_Medium_3R,Hidden_Only,10,3369,64.2920747996438,265.23936382021475,0.07872940451772477,1.2118901261329345,✅
ATR_1.5x|Trail_Medium|All_Signals|CD15,ATR_1.5x,Trail_Medium,All_Signals,15,4764,66.16288832913519,264.25678953166596,0.055469519213196046,1.1584777826767605,✅
