sl_pct,max_r,cooldown,filter,trades,wins,wr,total_r,avg_r
0.01,4,10,rsi_extreme,17819,13081,73.41040462427746,-228.5466005242815,-0.012826005978129048
0.01,3,20,hidden,19882,14606,73.46343426214666,-230.06873356433147,-0.011571709765834999
0.0075,5,5,volume,35023,25086,71.62721640065101,-245.561169271252,-0.0070114258993019445
0.01,4,5,rsi_extreme,21025,15315,72.84185493460167,-255.08271204069163,-0.01213235253463456
0.01,3,10,hidden,29036,21229,73.11268769803003,-255.22170900288958,-0.008789837064433448
0.0075,5,5,none,50649,36369,71.80595865663686,-265.32331402989234,-0.005238470927953017
0.01,6,20,none,20780,15235,73.31568816169394,-266.4106883857941,-0.012820533608556022
0.0075,4,20,volume,19468,14124,72.54982535442778,-267.2123173298619,-0.013725720018998454
0.01,3,10,rsi_extreme,17819,13081,73.41040462427746,-270.9160187303247,-0.015203772306544964
0.01,3,10,none,31225,22807,73.0408326661329,-271.4112294747072,-0.008692113033617525
0.0075,6,10,hidden,33242,24043,72.32717646351001,-278.57175429819443,-0.008380114141694074
0.01,5,20,none,20781,15233,73.30253597035754,-291.97473365105407,-0.014050081018769745
0.01,4,20,none,20784,15234,73.29676674364896,-309.9498863048099,-0.01491290830950779
0.01,3,5,rsi_extreme,21025,15313,72.83234244946493,-322.88259829575213,-0.015357079586004858
0.0075,5,10,hidden,33243,24040,72.3159762957615,-336.5422713222444,-0.010123703375815793
0.0075,6,10,volume,27486,19760,71.89114458269664,-337.59013499708726,-0.012282257694720486
0.0075,4,5,volume,35029,25088,71.62065716977362,-340.8906033090824,-0.009731668140942716
0.01,3,20,none,20786,15243,73.33301260463773,-341.33171651986015,-0.01642123143076398
0.0075,3,20,volume,19471,14132,72.57973396333009,-349.2831524666651,-0.017938634506017417
0.0075,6,10,none,35933,25906,72.0952884535107,-367.9647823374581,-0.010240302294199151
0.0075,6,20,rsi_extreme,14917,10782,72.27994905141784,-373.34903529455926,-0.025028426311896446
0.0075,5,10,volume,27487,19759,71.88489103940044,-376.52411457453,-0.013698261526340816
0.0075,6,20,hidden,22130,16007,72.33167645729779,-380.555749093839,-0.017196373659911387
0.0075,6,5,hidden,45396,32514,71.62305048902986,-384.617590579886,-0.008472499572206494
0.0075,5,20,rsi_extreme,14917,10782,72.27994905141784,-390.89456140977256,-0.02620463641548385
0.0075,5,20,hidden,22131,16009,72.33744521259771,-394.1416006343066,-0.017809479943712736
0.0075,6,20,none,23193,16807,72.46583020739016,-409.9561496724883,-0.0176758569254727
0.0075,4,10,hidden,33246,24042,72.3154665222884,-414.6853099899592,-0.012473239186367058
0.0075,4,5,none,50656,36362,71.78221730890714,-417.97264055471385,-0.008251197105075684
0.0075,4,20,rsi_extreme,14917,10782,72.27994905141784,-420.95459871251455,-0.028219789415600625
0.0075,5,20,none,23196,16813,72.48232453871357,-421.21807909266136,-0.018159082561332186
0.0075,4,10,volume,27489,19762,71.89057441158282,-433.12244438843766,-0.015756209552491456
0.0075,5,10,none,35933,25904,72.08972253917013,-435.26416372461955,-0.012113215254073401
0.0075,5,5,hidden,45402,32518,71.6223954891855,-449.0365176053154,-0.009890236500711762
0.0075,4,20,hidden,22132,16009,72.334176757636,-451.9877983561648,-0.02042236573089485
0.0075,4,20,none,23194,16807,72.46270587220833,-468.7418476861925,-0.020209616611459535
